User,Most_Similar_Model,Cosine_Similarity_Score
U01,U14,0.998680381715779
U02,U01,0.996668922946223
U03,U01,0.9974889214687556
U04,U06,0.9982706953464563
U05,U03,0.9972165457715438
U06,U04,0.9982706953464563
U07,U11,0.9960872994221128
U08,U06,0.9973445483113776
U09,U11,0.9987589202497131
U10,U03,0.9951191936877871
U11,U09,0.9987589202497131
U12,U09,0.9969063779900844
U13,U09,0.9985522548552385
U14,U01,0.998680381715779
U21,U31,0.9755797369325782
U22,U14,0.9830943675909334
U23,U26,0.9871733703702047
U24,U30,0.9887337391849005
U25,U22,0.9627275680738209
U26,U24,0.9884527621828043
U27,U24,0.9850286565493989
U28,U02,0.9787875963146893
U29,U27,0.9800342288708263
U30,U24,0.9887337391849005
U31,U22,0.9801759328742999
