,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13,U14,U21,U22,U23,U24,U25,U26,U27,U28,U29,U30,U31
U01,0.9999999999999999,0.9515151515151514,0.9757575757575757,0.9757575757575757,0.9515151515151514,0.9878787878787878,0.9515151515151514,0.9393939393939393,0.9878787878787878,0.8787878787878788,0.9757575757575757,0.9393939393939393,0.9878787878787878,0.9999999999999999,0.8666666666666665,0.9030303030303028,0.9515151515151514,0.9151515151515152,0.7575757575757575,0.9151515151515152,0.9515151515151514,0.8666666666666665,0.9030303030303028,0.9757575757575757,0.9151515151515152
U02,0.9515151515151514,0.9999999999999999,0.9515151515151514,0.9272727272727272,0.9272727272727272,0.9393939393939393,0.9393939393939393,0.8787878787878788,0.9636363636363635,0.9030303030303028,0.9515151515151514,0.9151515151515152,0.9272727272727272,0.9515151515151514,0.8424242424242423,0.8666666666666665,0.9393939393939393,0.9393939393939393,0.6606060606060605,0.8666666666666665,0.9030303030303028,0.8545454545454544,0.8787878787878788,0.9515151515151514,0.8545454545454544
U03,0.9757575757575757,0.9515151515151514,0.9999999999999999,0.9757575757575757,0.9757575757575757,0.9878787878787878,0.9272727272727272,0.9515151515151514,0.9878787878787878,0.9272727272727272,0.9636363636363635,0.9636363636363635,0.9393939393939393,0.9757575757575757,0.7939393939393938,0.8787878787878788,0.9636363636363635,0.9151515151515152,0.7212121212121211,0.9272727272727272,0.9636363636363635,0.8909090909090909,0.9151515151515152,0.9757575757575757,0.9151515151515152
U04,0.9757575757575757,0.9272727272727272,0.9757575757575757,0.9999999999999999,0.9757575757575757,0.9878787878787878,0.9151515151515152,0.9636363636363635,0.9636363636363635,0.8787878787878788,0.9393939393939393,0.9393939393939393,0.9515151515151514,0.9757575757575757,0.8424242424242423,0.9393939393939393,0.9515151515151514,0.9151515151515152,0.7939393939393938,0.9272727272727272,0.9636363636363635,0.9272727272727272,0.9636363636363635,0.9757575757575757,0.9272727272727272
U05,0.9515151515151514,0.9272727272727272,0.9757575757575757,0.9757575757575757,0.9999999999999999,0.9636363636363635,0.8909090909090909,0.9272727272727272,0.9636363636363635,0.9151515151515152,0.9393939393939393,0.9393939393939393,0.9151515151515152,0.9515151515151514,0.8303030303030302,0.8787878787878788,0.9272727272727272,0.8909090909090909,0.7818181818181817,0.8909090909090909,0.9636363636363635,0.9393939393939393,0.9272727272727272,0.9757575757575757,0.8909090909090909
U06,0.9878787878787878,0.9393939393939393,0.9878787878787878,0.9878787878787878,0.9636363636363635,0.9999999999999999,0.9393939393939393,0.9757575757575757,0.9757575757575757,0.9030303030303028,0.9515151515151514,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.8181818181818182,0.9151515151515152,0.9757575757575757,0.9272727272727272,0.7818181818181817,0.9393939393939393,0.9757575757575757,0.9030303030303028,0.9393939393939393,0.9636363636363635,0.9393939393939393
U07,0.9515151515151514,0.9393939393939393,0.9272727272727272,0.9151515151515152,0.8909090909090909,0.9393939393939393,0.9999999999999999,0.9151515151515152,0.9393939393939393,0.7939393939393938,0.9636363636363635,0.9636363636363635,0.9272727272727272,0.9515151515151514,0.8545454545454544,0.8060606060606059,0.9636363636363635,0.9757575757575757,0.6848484848484848,0.9515151515151514,0.9393939393939393,0.8666666666666665,0.8787878787878788,0.9151515151515152,0.8303030303030302
U08,0.9393939393939393,0.8787878787878788,0.9515151515151514,0.9636363636363635,0.9272727272727272,0.9757575757575757,0.9151515151515152,0.9999999999999999,0.9151515151515152,0.8545454545454544,0.8909090909090909,0.9393939393939393,0.9151515151515152,0.9393939393939393,0.7818181818181817,0.9030303030303028,0.9757575757575757,0.9272727272727272,0.8181818181818182,0.9515151515151514,0.9757575757575757,0.9151515151515152,0.9636363636363635,0.9030303030303028,0.9515151515151514
U09,0.9878787878787878,0.9636363636363635,0.9878787878787878,0.9636363636363635,0.9636363636363635,0.9757575757575757,0.9393939393939393,0.9151515151515152,0.9999999999999999,0.9030303030303028,0.9878787878787878,0.9515151515151514,0.9636363636363635,0.9878787878787878,0.8424242424242423,0.8666666666666665,0.9393939393939393,0.9030303030303028,0.6969696969696969,0.9030303030303028,0.9393939393939393,0.8545454545454544,0.8787878787878788,0.9878787878787878,0.8909090909090909
U10,0.8787878787878788,0.9030303030303028,0.9272727272727272,0.8787878787878788,0.9151515151515152,0.9030303030303028,0.7939393939393938,0.8545454545454544,0.9030303030303028,0.9999999999999999,0.8424242424242423,0.8303030303030302,0.8424242424242423,0.8787878787878788,0.6727272727272726,0.8303030303030302,0.8787878787878788,0.8060606060606059,0.7333333333333332,0.7818181818181817,0.8787878787878788,0.8303030303030302,0.8181818181818182,0.8787878787878788,0.8666666666666665
U11,0.9757575757575757,0.9515151515151514,0.9636363636363635,0.9393939393939393,0.9393939393939393,0.9515151515151514,0.9636363636363635,0.8909090909090909,0.9878787878787878,0.8424242424242423,0.9999999999999999,0.9636363636363635,0.9515151515151514,0.9757575757575757,0.8666666666666665,0.8181818181818182,0.9272727272727272,0.9151515151515152,0.6606060606060605,0.9151515151515152,0.9272727272727272,0.8424242424242423,0.8545454545454544,0.9757575757575757,0.8424242424242423
U12,0.9393939393939393,0.9151515151515152,0.9636363636363635,0.9393939393939393,0.9393939393939393,0.9515151515151514,0.9636363636363635,0.9393939393939393,0.9515151515151514,0.8303030303030302,0.9636363636363635,0.9999999999999999,0.8909090909090909,0.9393939393939393,0.7939393939393938,0.7939393939393938,0.9636363636363635,0.9515151515151514,0.6727272727272726,0.9757575757575757,0.9636363636363635,0.9030303030303028,0.9030303030303028,0.9393939393939393,0.8424242424242423
U13,0.9878787878787878,0.9272727272727272,0.9393939393939393,0.9515151515151514,0.9151515151515152,0.9636363636363635,0.9272727272727272,0.9151515151515152,0.9636363636363635,0.8424242424242423,0.9515151515151514,0.8909090909090909,0.9999999999999999,0.9878787878787878,0.9030303030303028,0.9151515151515152,0.9151515151515152,0.8787878787878788,0.7818181818181817,0.8666666666666665,0.9151515151515152,0.8181818181818182,0.8787878787878788,0.9515151515151514,0.9272727272727272
U14,0.9999999999999999,0.9515151515151514,0.9757575757575757,0.9757575757575757,0.9515151515151514,0.9878787878787878,0.9515151515151514,0.9393939393939393,0.9878787878787878,0.8787878787878788,0.9757575757575757,0.9393939393939393,0.9878787878787878,0.9999999999999999,0.8666666666666665,0.9030303030303028,0.9515151515151514,0.9151515151515152,0.7575757575757575,0.9151515151515152,0.9515151515151514,0.8666666666666665,0.9030303030303028,0.9757575757575757,0.9151515151515152
U21,0.8666666666666665,0.8424242424242423,0.7939393939393938,0.8424242424242423,0.8303030303030302,0.8181818181818182,0.8545454545454544,0.7818181818181817,0.8424242424242423,0.6727272727272726,0.8666666666666665,0.7939393939393938,0.9030303030303028,0.8666666666666665,0.9999999999999999,0.8303030303030302,0.7818181818181817,0.8181818181818182,0.7696969696969697,0.7454545454545454,0.8060606060606059,0.7818181818181817,0.8181818181818182,0.8666666666666665,0.8060606060606059
U22,0.9030303030303028,0.8666666666666665,0.8787878787878788,0.9393939393939393,0.8787878787878788,0.9151515151515152,0.8060606060606059,0.9030303030303028,0.8666666666666665,0.8303030303030302,0.8181818181818182,0.7939393939393938,0.9151515151515152,0.9030303030303028,0.8303030303030302,0.9999999999999999,0.8666666666666665,0.8303030303030302,0.8303030303030302,0.8060606060606059,0.8545454545454544,0.8424242424242423,0.9393939393939393,0.8909090909090909,0.9393939393939393
U23,0.9515151515151514,0.9393939393939393,0.9636363636363635,0.9515151515151514,0.9272727272727272,0.9757575757575757,0.9636363636363635,0.9757575757575757,0.9393939393939393,0.8787878787878788,0.9272727272727272,0.9636363636363635,0.9151515151515152,0.9515151515151514,0.7818181818181817,0.8666666666666665,0.9999999999999999,0.9757575757575757,0.7454545454545454,0.9636363636363635,0.9757575757575757,0.9151515151515152,0.9393939393939393,0.9151515151515152,0.9030303030303028
U24,0.9151515151515152,0.9393939393939393,0.9151515151515152,0.9151515151515152,0.8909090909090909,0.9272727272727272,0.9757575757575757,0.9272727272727272,0.9030303030303028,0.8060606060606059,0.9151515151515152,0.9515151515151514,0.8787878787878788,0.9151515151515152,0.8181818181818182,0.8303030303030302,0.9757575757575757,0.9999999999999999,0.6969696969696969,0.9515151515151514,0.9393939393939393,0.9151515151515152,0.9272727272727272,0.8909090909090909,0.8303030303030302
U25,0.7575757575757575,0.6606060606060605,0.7212121212121211,0.7939393939393938,0.7818181818181817,0.7818181818181817,0.6848484848484848,0.8181818181818182,0.6969696969696969,0.7333333333333332,0.6606060606060605,0.6727272727272726,0.7818181818181817,0.7575757575757575,0.7696969696969697,0.8303030303030302,0.7454545454545454,0.6969696969696969,0.9999999999999999,0.6969696969696969,0.8181818181818182,0.8303030303030302,0.8181818181818182,0.709090909090909,0.8424242424242423
U26,0.9151515151515152,0.8666666666666665,0.9272727272727272,0.9272727272727272,0.8909090909090909,0.9393939393939393,0.9515151515151514,0.9515151515151514,0.9030303030303028,0.7818181818181817,0.9151515151515152,0.9757575757575757,0.8666666666666665,0.9151515151515152,0.7454545454545454,0.8060606060606059,0.9636363636363635,0.9515151515151514,0.6969696969696969,0.9999999999999999,0.9515151515151514,0.9030303030303028,0.9151515151515152,0.8909090909090909,0.8303030303030302
U27,0.9515151515151514,0.9030303030303028,0.9636363636363635,0.9636363636363635,0.9636363636363635,0.9757575757575757,0.9393939393939393,0.9757575757575757,0.9393939393939393,0.8787878787878788,0.9272727272727272,0.9636363636363635,0.9151515151515152,0.9515151515151514,0.8060606060606059,0.8545454545454544,0.9757575757575757,0.9393939393939393,0.8181818181818182,0.9515151515151514,0.9999999999999999,0.9515151515151514,0.9393939393939393,0.9272727272727272,0.9030303030303028
U28,0.8666666666666665,0.8545454545454544,0.8909090909090909,0.9272727272727272,0.9393939393939393,0.9030303030303028,0.8666666666666665,0.9151515151515152,0.8545454545454544,0.8303030303030302,0.8424242424242423,0.9030303030303028,0.8181818181818182,0.8666666666666665,0.7818181818181817,0.8424242424242423,0.9151515151515152,0.9151515151515152,0.8303030303030302,0.9030303030303028,0.9515151515151514,0.9999999999999999,0.9515151515151514,0.8787878787878788,0.8181818181818182
U29,0.9030303030303028,0.8787878787878788,0.9151515151515152,0.9636363636363635,0.9272727272727272,0.9393939393939393,0.8787878787878788,0.9636363636363635,0.8787878787878788,0.8181818181818182,0.8545454545454544,0.9030303030303028,0.8787878787878788,0.9030303030303028,0.8181818181818182,0.9393939393939393,0.9393939393939393,0.9272727272727272,0.8181818181818182,0.9151515151515152,0.9393939393939393,0.9515151515151514,0.9999999999999999,0.9030303030303028,0.9151515151515152
U30,0.9757575757575757,0.9515151515151514,0.9757575757575757,0.9757575757575757,0.9757575757575757,0.9636363636363635,0.9151515151515152,0.9030303030303028,0.9878787878787878,0.8787878787878788,0.9757575757575757,0.9393939393939393,0.9515151515151514,0.9757575757575757,0.8666666666666665,0.8909090909090909,0.9151515151515152,0.8909090909090909,0.709090909090909,0.8909090909090909,0.9272727272727272,0.8787878787878788,0.9030303030303028,0.9999999999999999,0.8787878787878788
U31,0.9151515151515152,0.8545454545454544,0.9151515151515152,0.9272727272727272,0.8909090909090909,0.9393939393939393,0.8303030303030302,0.9515151515151514,0.8909090909090909,0.8666666666666665,0.8424242424242423,0.8424242424242423,0.9272727272727272,0.9151515151515152,0.8060606060606059,0.9393939393939393,0.9030303030303028,0.8303030303030302,0.8424242424242423,0.8303030303030302,0.9030303030303028,0.8181818181818182,0.9151515151515152,0.8787878787878788,0.9999999999999999
