time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Activity_Code,Activity_Name,Trial_ID,Age,Height,Weight,Gender,User_ID
0.0,-3.1,-2.6,9.2,0.1,-0.1,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.001,-3.0,-2.6,8.9,0.1,-0.1,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.003,-3.9,-2.2,9.9,0.2,-0.1,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.005,-3.9,-2.5,9.3,0.9,0.0,0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.124,-3.7,-1.7,9.4,-0.0,-0.1,-0.2,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.125,-2.1,-2.0,9.1,-0.0,-0.1,-0.2,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.13,-3.0,-3.5,8.2,-0.3,-0.1,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.132,-3.5,-1.9,8.9,-0.3,-0.0,0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.134,-3.0,-2.4,8.9,0.2,0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.209,-3.3,-2.3,8.8,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.21,-3.4,-2.0,8.9,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.212,-3.3,-2.4,8.9,0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.214,-3.2,-2.5,9.0,0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.216,-2.9,-2.3,9.1,-0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.217,-2.9,-2.5,9.0,0.0,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.322,-3.1,-2.5,8.9,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.324,-3.2,-2.3,9.0,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.325,-3.1,-2.1,8.9,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.327,-3.2,-2.2,9.1,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.4,-3.2,-2.3,8.9,-0.0,-0.0,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.402,-3.2,-2.2,8.9,-0.0,-0.0,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.404,-3.2,-1.9,8.9,-0.0,-0.0,-0.1,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.405,-3.2,-2.1,8.9,0.1,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.407,-3.2,-2.3,8.9,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.408,-3.2,-2.3,8.9,0.0,-0.0,-0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.522,-3.2,-2.2,8.9,0.0,0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.524,-3.2,-2.0,8.8,-0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.526,-3.1,-2.5,8.6,-0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.527,-3.1,-2.4,8.8,-0.1,-0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
0.605,-3.2,-2.1,8.8,-0.0,0.0,0.0,-0.3,0.2,0.1,-0.9,D01,Walking,R01,20.0,1.73,69.5,Male,U03
