time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D02,Activity_D03,Activity_D04,Activity_D05,Activity_D06,Activity_D07,Activity_D08,Activity_D09,Activity_D10,Activity_D11,Activity_F01,Activity_F02,Activity_F03,Activity_F04,Activity_F05,Activity_F06,Activity_F07,Activity_F08
0.0,1.8,1.9,10.8,0.2,-0.3,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.002,1.4,1.3,10.1,0.2,-0.3,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.003,0.1,1.9,10.4,0.2,-0.3,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.005,0.2,2.0,9.5,0.2,-0.3,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.007,-1.1,1.4,9.0,0.2,-0.3,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.126,0.7,1.8,9.8,-0.1,0.0,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.128,0.1,1.4,9.1,-0.1,0.0,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.13,-0.0,1.3,9.1,-0.1,0.0,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.131,0.3,1.2,9.5,-0.1,0.0,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.227,-0.1,1.1,9.6,-0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.228,-0.3,1.3,9.6,-0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.23,-0.0,1.5,9.7,-0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.231,0.2,1.4,9.8,0.1,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.238,0.1,1.5,9.7,0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.239,0.0,1.4,9.7,0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.3,-0.2,1.4,9.6,-0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.301,-0.2,1.4,9.7,-0.0,0.1,0.1,-0.2,-0.0,0.1,1.0,1,22.0,1.78,56.0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
