time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D04,Activity_D09,Activity_D10,Activity_D11
0.0,-8.3,-3.8,2.2,-0.4,-0.3,0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.001,-8.2,-4.0,2.3,-0.4,-0.3,0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.003,-9.0,-4.4,2.7,-0.4,-0.2,0.2,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.077,-9.8,-4.1,2.3,-0.4,-0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.079,-9.1,-4.5,2.1,-0.4,-0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.08,-9.3,-4.1,2.0,-0.4,-0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.082,-9.2,-4.2,2.3,-0.4,-0.2,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.084,-9.5,-4.2,2.3,-0.3,-0.2,0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.085,-9.6,-3.6,2.4,-0.3,-0.2,0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.087,-9.1,-3.6,2.3,-0.2,-0.1,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.198,-8.3,-3.4,2.2,0.1,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.2,-9.2,-3.5,2.2,0.0,-0.2,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.202,-8.3,-3.2,2.3,0.0,-0.2,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.301,-8.3,-3.1,2.4,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.307,-8.4,-3.1,2.5,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.309,-8.9,-2.8,2.4,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.311,-8.0,-3.0,2.4,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.313,-6.7,-5.8,1.8,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.314,-7.9,-2.2,2.5,-0.1,-0.3,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.4,-8.0,-3.3,2.2,-0.6,0.4,0.4,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.402,-9.3,-3.6,2.0,-0.6,0.4,0.4,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.403,-10.5,-3.7,2.0,-0.6,0.4,0.4,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.405,-9.8,-4.6,1.5,-0.5,0.3,0.4,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.41,-8.3,-3.5,2.0,0.1,0.2,0.3,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.5,-9.3,-3.8,1.8,0.3,0.3,0.1,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.502,-9.4,-3.6,1.8,0.3,0.3,0.1,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.503,-9.0,-3.4,1.9,0.3,0.3,0.1,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.505,-9.0,-3.3,1.8,0.5,0.1,0.1,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.51,-9.0,-3.0,1.7,0.5,0.1,0.1,0.2,0.5,0.4,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.6,-9.1,-3.0,1.7,0.3,0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.602,-9.2,-3.1,1.7,0.3,-0.0,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.604,-9.3,-3.1,1.6,0.2,-0.0,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.605,-9.3,-3.0,1.7,0.2,-0.0,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.607,-9.2,-3.0,1.7,0.2,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.7,-9.1,-3.1,1.6,0.1,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.702,-9.1,-3.2,1.7,0.1,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.704,-9.0,-3.2,1.7,0.1,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.707,-8.6,-3.1,1.6,0.1,-0.1,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.717,-7.5,-3.3,1.5,0.2,-0.0,-0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.8,-9.4,-2.0,1.5,0.2,-0.1,-0.5,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.802,-7.4,-2.3,1.9,0.1,-0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.803,-8.6,-2.3,1.7,0.0,-0.0,-0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.805,-8.6,-2.5,1.8,0.0,-0.0,-0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.807,-9.3,-2.6,2.1,-0.1,0.0,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.9,-10.1,-2.9,2.2,-0.1,0.2,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.901,-10.3,-2.9,2.5,-0.1,0.2,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.903,-9.9,-3.1,2.6,-0.1,0.2,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.905,-9.1,-2.5,2.6,0.0,0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
0.906,-8.7,-2.3,2.6,0.0,0.1,-0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.0,-8.6,-2.1,2.7,0.5,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.002,-8.9,-2.2,2.7,0.5,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.009,-10.0,-2.5,2.8,0.5,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.011,-10.7,-2.8,2.7,0.5,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.012,-10.5,-2.7,2.8,0.5,0.0,-0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.087,-9.4,-2.6,2.6,0.2,-0.3,-0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.092,-8.6,-2.6,2.3,0.2,-0.3,-0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.094,-8.5,-2.6,2.0,0.2,-0.3,-0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.104,-8.7,-2.8,2.0,0.1,-0.2,-0.1,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.106,-8.9,-3.0,2.3,0.0,-0.1,-0.0,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.198,-8.8,-3.3,2.4,-0.3,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.201,-8.6,-3.5,2.4,-0.3,-0.1,0.3,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.203,-8.5,-3.5,2.2,-0.1,0.1,0.5,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.208,-8.6,-3.5,2.2,-0.1,0.1,0.5,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.301,-8.6,-3.5,2.4,0.0,0.2,0.6,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.303,-8.7,-3.4,2.7,0.0,0.2,0.6,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.304,-8.8,-3.4,2.7,0.0,0.2,0.6,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.306,-8.9,-3.3,2.6,0.0,0.2,0.6,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.308,-8.9,-3.2,2.6,0.2,0.2,0.6,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.314,-8.9,-3.1,2.5,0.0,0.1,0.5,0.1,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.4,-8.9,-3.1,2.5,-0.0,0.1,0.4,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.406,-8.9,-3.1,2.5,-0.1,0.0,0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.408,-9.0,-3.0,2.6,-0.1,0.0,0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.409,-8.8,-2.9,2.4,-0.2,-0.0,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.411,-8.6,-3.0,2.1,-0.2,-0.0,0.2,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.5,-8.5,-3.1,2.1,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.502,-8.8,-3.2,2.1,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.511,-9.0,-3.5,2.2,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.513,-9.3,-3.5,2.2,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.515,-9.2,-3.3,2.2,-0.4,-0.1,0.1,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.6,-9.1,-3.1,2.1,-0.2,-0.0,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.601,-9.0,-3.0,2.2,-0.2,-0.0,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.603,-9.1,-2.9,2.2,-0.2,-0.0,0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.605,-9.1,-2.8,2.3,-0.2,-0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.606,-9.1,-2.8,2.4,-0.2,-0.0,-0.0,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.7,-9.3,-2.7,2.4,-0.2,-0.1,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.705,-9.3,-2.6,2.5,-0.2,-0.1,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
1.706,-9.3,-2.5,2.5,-0.1,-0.0,-0.3,0.2,0.5,0.3,-0.8,1,81.0,1.73,72.0,1,25,1,0,0,0,0
