time,accel_x_list,accel_y_list,accel_z_list,gyro_x_list,gyro_y_list,gyro_z_list,orientation_s_list,orientation_i_list,orientation_j_list,orientation_k_list,Trial_ID,Age,Height,Weight,Gender,User_ID,Activity_D01,Activity_D03,Activity_D04,Activity_D09,Activity_D10,Activity_D11
0.0,-1.3,1.0,9.6,-0.1,-0.0,-0.1,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.003,-1.3,1.4,9.7,-0.1,-0.0,-0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.005,-1.4,1.4,9.9,0.1,0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.007,-1.2,1.3,9.6,0.0,-0.0,-0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.008,-1.5,1.6,9.8,0.0,-0.0,-0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.087,-1.4,1.5,9.6,0.0,-0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.089,-1.3,1.4,9.6,0.0,0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.09,-1.2,1.2,9.5,0.0,0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.092,-1.5,1.7,9.6,0.0,0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.094,-1.6,2.1,9.6,0.0,0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.199,-1.5,1.7,9.6,-0.0,-0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.201,-1.5,1.4,9.6,-0.0,-0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.202,-1.4,1.4,9.6,-0.0,-0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.204,-1.3,1.4,9.6,-0.0,-0.0,0.0,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.28,-1.2,1.3,9.5,-0.0,0.0,0.1,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.282,-1.3,1.3,9.6,-0.0,0.0,0.1,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.284,-2.1,0.7,9.4,-0.0,0.0,0.1,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.285,-1.2,2.0,9.7,-0.0,0.0,0.1,0.7,0.1,-0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.287,-1.4,1.3,9.5,-0.0,0.0,0.1,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.3,-1.3,1.6,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.403,-1.4,1.3,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.404,-1.3,1.3,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.41,-1.4,1.3,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.411,-1.4,1.3,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.505,-1.4,1.3,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.506,-1.5,1.5,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.508,-1.5,1.4,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.51,-1.4,1.4,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.511,-1.4,1.4,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.513,-1.4,1.4,9.5,-0.0,0.0,0.1,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.601,-1.4,1.4,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.602,-1.5,1.3,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.61,-1.4,1.3,9.7,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.611,-1.4,1.3,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.613,-1.6,1.2,9.5,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.7,-1.3,1.5,9.7,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.701,-1.5,1.4,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.703,-1.5,1.3,9.6,-0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.715,-1.4,1.4,9.7,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.717,-1.4,1.5,9.6,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.8,-1.5,1.3,9.6,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.805,-1.5,1.2,9.6,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.807,-1.5,1.2,9.5,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.809,-1.4,1.3,9.6,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.81,-1.4,1.4,9.5,0.0,0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.9,-1.4,1.4,9.6,-0.0,-0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.901,-1.5,1.3,9.6,-0.0,-0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
0.903,-1.5,1.3,9.6,-0.0,-0.0,0.0,0.7,0.1,0.0,-0.7,1,89.0,1.71,71.5,0,27,1,0,0,0,0,0
